longitude,latitude,avg_temperature
-121.76030454182842,37.68171199525004,66.602
-121.76053226391606,37.681775815600076,67.04157894736842
-121.76045601581265,37.68177501411489,67.06285714285714
-121.7605312418879,37.681837231351345,67.0448
-121.76045499372164,37.681836429864404,66.915
-121.76037976771225,37.68177421258044,66.93976744186047
-121.76030351961484,37.681773410996676,66.89382352941176
-121.76083521280323,37.68190185256396,66.848
-121.76075896456204,37.68190105127239,66.74666666666667
-121.76083419102017,37.68196326832098,67.04383333333334
-121.76075794271615,37.68196246702762,67.01462962962962
-121.76068271632387,37.68190024993152,66.787
-121.76060646808874,37.68189944854137,66.93085106382979
-121.76068169441517,37.68196166568499,66.95974358974358
-121.76060544611718,37.681960864293075,67.10428571428571
-121.76083214744476,37.68208609983298,67.503
-121.76053021985662,37.681898647101946,67.08578947368422
-121.76052919782222,37.68196006285189,67.204
-121.76022829379689,37.68171119361879,66.954
-121.76015204576836,37.68171039193824,66.85
-121.76007579774286,37.68170959020842,66.922
-121.7599995497204,37.68170878842933,67.19720000000001
-121.76022727152046,37.68177260936368,66.85366666666667
-121.76015102342913,37.68177180768135,66.90260869565218
-121.76007477534081,37.68177100594977,66.868
-121.75999852725549,37.68177020416892,66.61846153846153
-121.75992330170097,37.681707986600934,66.90272727272728
-121.75984705368455,37.68170718472327,66.512
-121.75977080567112,37.68170638279634,66.45166666666667
-121.75969455766077,37.6817055808201,66.30862068965517
-121.75992227917322,37.68176940233875,66.88733333333333
-121.75984603109397,37.68176860045934,67.20669902912621
-121.7598450085003,37.6818300161947,67.20657894736841
-121.75976978301775,37.681767798530615,66.60318181818182
-121.75969353494453,37.68176699655262,66.64785714285713
-121.7598439859035,37.68189143192942,67.27846153846154
-121.75991921157139,37.68195364954822,67.065
-121.75984296330363,37.6819528476635,67.17052631578947
-121.75984194070064,37.68201426339687,67.01
-121.75984091809455,37.682075679129596,67.02
-121.75972705686063,37.68204376833986,67.444
-121.75964285541929,37.68023080105708,65.33571428571427
-121.75956660892287,37.680229999024675,65.248
-121.75964183271475,37.680292216803785,65.63176470588235
-121.7595655861555,37.68029141476963,65.94884615384616
-121.75964081000711,37.680353632549846,65.94833333333334
-121.75956456338506,37.6803528305139,65.73481481481483
-121.7594893395993,37.68029061268616,65.509
-121.7594130930461,37.68028981055345,65.44853658536584
-121.759488316766,37.68035202842868,65.48466666666667
-121.75941207014998,37.68035122629418,65.52875
-121.75933684649593,37.68028900837144,65.59779999999999
-121.759335823537,37.68035042411043,65.51888888888888
-121.75963978729636,37.6804150482952,65.88333333333334
-121.75956354061148,37.68041424625751,65.7625
-121.75963876458252,37.680476464039934,65.745625
-121.7595625178348,37.68047566200046,65.69562499999999
-121.75948729392961,37.68041344417053,65.60666666666667
-121.75941104725075,37.68041264203426,65.3
-121.75948627109011,37.68047485991171,65.65066666666667
-121.75941002434844,37.68047405777369,65.869375
-121.75963774186557,37.680537879783984,65.64099999999999
-121.75956149505502,37.68053707774275,65.71909090909091
-121.75948524824749,37.68053627565224,66.10676470588236
-121.75940900144299,37.68053547351244,66.17545454545454
-121.75948422540179,37.68059769139208,66.24222222222222
-121.75940797853447,37.68059688925052,65.88333333333333
-121.75933480057495,37.68041183984873,65.4759375
-121.75925855390214,37.680411037613936,65.38999999999999
-121.75933377760978,37.680473255586385,66.025
-121.75925753087417,37.68047245334981,66.06166666666667
-121.75918230723238,37.68041023532981,65.29416666666667
-121.75918128414155,37.68047165106394,65.91607142857143
-121.75910503741198,37.68047084872879,65.16799999999999
-121.75933275464152,37.68053467132336,65.72
-121.75925650784308,37.680533869085025,65.63000000000001
-121.75914162608723,37.68056337350112,65.46333333333332
-121.75963569642236,37.68066071127008,66.35352941176471
-121.75955944948613,37.68065990922533,66.23677419354838
-121.7596346736961,37.680722127012146,66.34666666666666
-121.75955842669705,37.68072132496561,66.5318
-121.75948320255296,37.68065910713128,66.35454545454546
-121.7594069556228,37.68065830498795,65.99000000000001
-121.75948217970102,37.68072052286979,66.46891891891892
-121.75940593270803,37.68071972072472,65.94333333333334
-121.7596336509667,37.68078354275354,66.31702702702702
-121.75955740390486,37.68078274070524,66.47133333333333
-121.75963262823423,37.68084495849426,66.04285714285714
-121.75955638110955,37.6808441564442,66.22357142857143
-121.759481156846,37.680781938607666,66.46000000000001
-121.75940490979018,37.680781136460794,66.09214285714286
-121.75948013398785,37.68084335434485,66.27680000000001
-121.75940388686921,37.68084255219623,66.126
-121.75947911112661,37.68090477008138,66.22487179487179
-121.75940286394514,37.680903967930995,66.16166666666668
-121.75947808826228,37.680966185817255,66.11
-121.75940184101795,37.680965383665075,66.29428571428572
-121.75955331270498,37.68102840365709,65.77444444444444
-121.75962853727326,37.68109062145051,65.44583333333334
-121.75955228989724,37.681089819393385,65.49249999999999
-121.75947706539483,37.681027601552444,65.99000000000001
-121.75940081808767,37.68102679939852,66.15375
-121.75947604252424,37.68108901728698,65.93133333333334
-121.7593997951543,37.68108821513128,66.05333333333334
-121.75807007479322,37.680797798766015,64.31142857142858
-121.75795519218971,37.68082730200928,64.48166666666667
-121.75787894513158,37.680826498875064,64.81666666666666
-121.75806802674603,37.68092063017368,64.7975
-121.7581046143292,37.68101315524203,65.018
-121.7581035903277,37.68107457094475,64.74199999999999
-121.75791348412429,37.68104185539646,65.24
-121.75776508668638,37.6807945862327,64.8488888888889
-121.75757498135822,37.680761870152395,65.24428571428572
-121.75765020397539,37.68082408917673,65.27333333333333
-121.75749873437807,37.68076106677355,65.23666666666666
-121.75749770988638,37.68082248246479,65.21
-121.7577254267181,37.680886308154676,65.10125000000001
-121.75772440240866,37.68094772384988,65.37333333333333
-121.75764917960623,37.68088550487086,65.13444444444445
-121.75757190806227,37.68094611722943,65.17
-121.75779962533667,37.68100994278251,65.52250000000001
-121.75757088362406,37.68100753292044,65.31857142857143
-121.75756985918277,37.68106894861077,65.50111111111111
-121.75745804957552,37.680914204290296,65.25
-121.75749361188846,37.681068145223094,65.429
-121.75741736459719,37.68106734178615,65.65777777777777
-121.75730350599694,37.68103542869629,65.72857142857143
-121.75962751452526,37.681152037187914,65.52666666666667
-121.75955126708641,37.68115123512902,65.8411111111111
-121.75947501965058,37.68115043302084,66.04789473684211
-121.75939877221778,37.68114963086338,66.10272727272728
-121.7594739967738,37.68121184875405,66.15727272727273
-121.75939774927816,37.68121104659482,66.13900000000001
-121.75947297389392,37.68127326448658,66.2072340425532
-121.75939672633547,37.681272462325595,66.25166666666667
-121.75947195101094,37.68133468021845,66.17408163265307
-121.75939570338966,37.681333878055696,66.346
-121.7596224007386,37.681459115864946,65.81809523809524
-121.75954615298562,37.68145831379721,66.05555555555556
-121.75947092812484,37.68139609594966,66.10312499999999
-121.75939468044072,37.681395293785144,66.36
-121.75946990523565,37.6814575116802,65.60896103896104
-121.75939365748869,37.68145670951394,65.23052631578948
-121.75962137797197,37.681520531598345,65.95
-121.75954513015616,37.68151972952885,65.83083333333333
-121.75946888234334,37.68151892741008,65.98290322580645
-121.75939263453355,37.681518125242036,65.24307692307693
-121.75946785944792,37.681580343139295,66.13102564102564
-121.7593916115753,37.68157954096949,65.35929411764705
-121.75931536370571,37.68157873875039,64.4635294117647
-121.75923911583914,37.68157793648201,64.368
-121.75916286797559,37.68157713416434,64.78041666666667
-121.75908662011507,37.68157633179741,64.67999999999999
-121.7590103722576,37.68157552938118,64.72458333333334
-121.75893412440314,37.681574726915684,64.8359375
-121.75885889994974,37.68151250868581,64.885
-121.75885787655167,37.681573924400894,64.94296296296297
-121.75878162870328,37.68157312183682,65.10394736842105
-121.75870538085786,37.681572319223484,64.92605263157895
